Skill,Occurrences,Example
00,1,
000,2,
01,8,
02,1,
03,11,
04,3,
05,3,
06,4,
08,4,
087,1,
0893,1,
09,3,
10,10,
1000,1,
11,4,
12,5,
1200,1,
13,1,
176,2,
1983,1,
1991,1,
1998,1,
1999,2,
1st,4,
2000,1,
2001,2,
2002,3,
2003,3,
2004,3,
2005,4,
2006,3,
2007,4,
2008,10,
2009,5,
201,3,
2010,14,
2011,8,
2012,3,
2013,4,
2014,9,
2015,7,
2016,5,
2017,11,
2018,14,
2019,16,
2020,16,
2021,23,
2022,32,
2022oct,1,
2023,2,
2024,1,
20487,1,
20k,2,
230,1,
250,2,
2d,2,
2x,1,
30,1,
337,1,
35,2,
3524651,1,
3d,5,
3ky0hjf,2,
3pia9rn,2,
3rd,2,
4096,1,
449,1,
468,1,
477,2,
49,4,
4919,1,
50,2,
5019,1,
50301811,2,
52,1,
523,1,
532,2,
5346,1,
552,1,
553,1,
57962245,1,
5a,2,
60,1,
67a81630,1,
68,1,
74,1,
795,1,
80,1,
811,1,
879,1,
90,8,
905061597868,1,
90543,1,
912,1,
93080,2,
968,1,
98,1,
9967,1,
a2,1,
aack,1,
abad,1,
abdollahian,2,
abdollahian61,1,
abdollahian61_1,1,
ability,12,
able,2,
about,10,
ac,2,
academy,2,
accelerator,2,
accessibility,2,
accommodating,1,
accompanied,4,
accomplish,1,
accomplished,1,
accomplishments,2,
according,1,
account,3,
accountability,1,
accountant,2,
accounting,4,
accurately,1,
acf,1,
achievements,2,
achieving,3,
acquired,4,
across,7,
actabl,6,
actions,5,
active,1,
activities,3,
ad,1,
adaptable,1,
adapter,1,
adapting,1,
add,1,
added,2,
addition,2,
additional,1,
address,2,
adept,2,
adjusted,2,
admin,1,
administering,1,
administration,3,
administrator,3,
administrators,1,
admitted,1,
adobe,2,
adoption,2,
advanced,7,
advisor,2,
aegee,1,
aesthetic,1,
after,2,
afterwards,3,
afzar,1,
ag,2,
aggregator,1,
agile,15,
agu,1,
aguascalientes,2,
ahmet,1,
ahmetumitcaliskan,1,
ai,3,
aimed,1,
air,10,
akar,2,
aks,1,
alborz,1,
alejandro,1,
ali,1,
alibaba,1,
alibizmark,1,
alice,2,
align,1,
alk,1,
all,10,
allowing,1,
also,9,
alto,1,
always,1,
am,6,
amassing,1,
amazon,1,
american,2,
amir,2,
amnafza,1,
amnafzar,1,
among,1,
amount,1,
ampere,2,
an,24,
anadolu,2,
analysed,2,
analyses,2,
analysing,1,
analysis,7,
analytical,2,
analytics,1,
analyzed,3,
analyzing,2,
and,467,
android,3,
angu,2,
angular,2,
anisa,1,
ankara,2,
anova,1,
ansible,2,
antalya,1,
any,3,
apache,3,
api,15,
apis,2,
app,2,
appium,2,
appli,3,
application,13,
applications,34,
applied,4,
applying,1,
approach,3,
apps,4,
apr,8,
april,3,
apucarana,2,
arbabi,1,
architect,1,
architecting,1,
architects,4,
architectural,2,
architecture,15,
architectures,1,
architizer,2,
are,5,
area,1,
areas,3,
arge,2,
argo,1,
argocd,3,
arm,2,
artium,1,
as,46,
asa,1,
asian,1,
asp,9,
aspect,1,
aspects,1,
asr,2,
assessment,2,
assessments,5,
assigned,1,
assistant,2,
associate,1,
assurance,3,
assured,5,
at,28,
ata,1,
atabase,1,
ater,1,
atg,1,
ation,1,
atlassian,1,
attending,1,
attention,2,
attitude,1,
audi,2,
audits,2,
aug,10,
aught,1,
august,2,
aumitcaliskan,1,
aupovtr,1,
austria,4,
authority,1,
authorizing,2,
authorship,1,
automate,2,
automated,8,
automatic,1,
automation,21,
autonoma,1,
availab,1,
availability,3,
available,4,
avr,2,
award,2,
awards,2,
awareness,4,
aws,13,
aygaz,4,
ayhan,1,
ayhnkaya,1,
ayhnkya09,1,
ayupov,1,
azad,4,
azure,12,
b2,2,
b9t,1,
bac,1,
bachelor,8,
back,5,
backed,1,
backend,8,
background,2,
backups,1,
bad,3,
balance,1,
bank,1,
banking,2,
barcelona,1,
base,3,
based,11,
bases,1,
bash,2,
basic,2,
bauhaus,2,
bdd,2,
be,7,
because,1,
been,9,
before,1,
began,1,
beginner,2,
beginners,1,
behavior,1,
being,2,
bench,2,
benefit,1,
berlin,2,
best,5,
between,4,
beytha,1,
bi,3,
bicep,1,
big,1,
bilingual,1,
billing,4,
billion,1,
binance,1,
binbin,2,
birthday,1,
bit,4,
bizmark,1,
blaze,1,
blazemeter,1,
blender,1,
blockchain,1,
blocks,1,
bloomberg,1,
bluetooth_controller,2,
bmbok,1,
body,1,
books,1,
bootcamp,1,
bootstrap,1,
bornova,1,
both,3,
bours,1,
box,1,
brand,3,
brands,2,
brazil,8,
bridge,1,
british,1,
browser,1,
bsc,1,
budget,2,
budgeting,1,
budgets,2,
bug,2,
bugs,1,
build,1,
builders,1,
building,5,
buildings,1,
built,8,
bulk,1,
business,17,
businesses,1,
but,2,
by,15,
c1,1,
c2french,1,
ca,4,
california,1,
can,2,
candidate,1,
capabilities,3,
capable,3,
car,1,
career,1,
carried,3,
carrier,4,
cart,1,
cases,15,
cassandra,2,
catalunya,1,
catering,1,
cations,3,
ccna,1,
ccnp,2,
cd,8,
cdns,1,
cdp,1,
ce,1,
cengiz,2,
center,8,
centers,4,
centos,1,
centric,2,
ceph,2,
ceremonies,1,
certain,1,
certificate,2,
certification,6,
certifications,5,
chain,1,
challenge,1,
challenges,1,
chandigarh,1,
